ipv4-1;ipv4-2;ipv4-3;ipv6-1;ipv6-2;mac;host_name;zone
10.7.3.164;10.0.107.164;-;2a07:1182:7:3::164;2a07:1182:107:2::164;00:50:56:9e:78:81;ws2-04.lab.blue07.ex;LAB
10.7.3.165;10.0.107.165;-;2a07:1182:7:3::165;2a07:1182:107:2::165;00:50:56:9e:51:53;ws2-05.lab.blue07.ex;LAB
10.7.3.166;10.0.107.166;-;2a07:1182:7:3::166;2a07:1182:107:2::166;00:50:56:9e:40:63;ws2-06.lab.blue07.ex;LAB
10.7.3.167;10.0.107.167;-;2a07:1182:7:3::167;2a07:1182:107:2::167;00:50:56:9e:43:9e;ws2-07.lab.blue07.ex;LAB
10.7.3.168;10.0.107.168;-;2a07:1182:7:3::168;2a07:1182:107:2::168;00:50:56:9e:77:08;ws2-08.lab.blue07.ex;LAB
10.7.3.169;10.0.107.169;-;2a07:1182:7:3::169;2a07:1182:107:2::169;00:50:56:9e:67:c1;ws2-09.lab.blue07.ex;LAB
10.7.3.170;10.0.107.170;-;2a07:1182:7:3::170;2a07:1182:107:2::170;00:50:56:9e:17:d2;ws2-10.lab.blue07.ex;LAB
10.7.3.171;10.0.107.171;-;2a07:1182:7:3::171;2a07:1182:107:2::171;00:50:56:9e:03:fb;ws3-01.lab.blue07.ex;LAB
10.7.3.172;10.0.107.172;-;2a07:1182:7:3::172;2a07:1182:107:2::172;00:50:56:9e:2e:4b;ws3-02.lab.blue07.ex;LAB
10.7.3.173;10.0.107.173;-;2a07:1182:7:3::173;2a07:1182:107:2::173;00:50:56:9e:15:3d;ws3-03.lab.blue07.ex;LAB
10.7.3.174;10.0.107.174;-;2a07:1182:7:3::174;2a07:1182:107:2::174;00:50:56:9e:08:00;ws3-04.lab.blue07.ex;LAB
10.7.3.175;10.0.107.175;-;2a07:1182:7:3::175;2a07:1182:107:2::175;00:50:56:9e:68:4f;ws3-05.lab.blue07.ex;LAB
10.7.3.176;10.0.107.176;-;2a07:1182:7:3::176;2a07:1182:107:2::176;00:50:56:9e:26:73;ws3-06.lab.blue07.ex;LAB
10.7.3.177;10.0.107.177;-;2a07:1182:7:3::177;2a07:1182:107:2::177;00:50:56:9e:56:79;ws3-07.lab.blue07.ex;LAB
10.7.3.178;10.0.107.178;-;2a07:1182:7:3::178;2a07:1182:107:2::178;00:50:56:9e:2f:ae;ws3-08.lab.blue07.ex;LAB
10.7.3.179;10.0.107.179;-;2a07:1182:7:3::179;2a07:1182:107:2::179;00:50:56:9e:23:89;ws3-09.lab.blue07.ex;LAB
10.7.3.180;10.0.107.180;-;2a07:1182:7:3::180;2a07:1182:107:2::180;00:50:56:9e:74:9e;ws3-10.lab.blue07.ex;LAB
10.7.3.181;10.0.107.181;-;2a07:1182:7:3::181;2a07:1182:107:2::181;00:50:56:9e:21:0c;ws4-01.lab.blue07.ex;LAB
10.7.3.182;10.0.107.182;-;2a07:1182:7:3::182;2a07:1182:107:2::182;00:50:56:9e:13:d5;ws4-02.lab.blue07.ex;LAB
10.7.3.183;10.0.107.183;-;2a07:1182:7:3::183;2a07:1182:107:2::183;00:50:56:9e:2b:e0;ws4-03.lab.blue07.ex;LAB
10.7.3.184;10.0.107.184;-;2a07:1182:7:3::184;2a07:1182:107:2::184;00:50:56:9e:21:55;ws4-04.lab.blue07.ex;LAB
10.7.3.185;10.0.107.185;-;2a07:1182:7:3::185;2a07:1182:107:2::185;00:50:56:9e:11:f4;ws4-05.lab.blue07.ex;LAB
10.7.3.186;10.0.107.186;-;2a07:1182:7:3::186;2a07:1182:107:2::186;00:50:56:9e:32:a0;ws4-06.lab.blue07.ex;LAB
10.7.3.187;10.0.107.187;-;2a07:1182:7:3::187;2a07:1182:107:2::187;00:50:56:9e:6f:58;ws4-07.lab.blue07.ex;LAB
10.7.3.188;10.0.107.188;-;2a07:1182:7:3::188;2a07:1182:107:2::188;00:50:56:9e:39:2f;ws4-08.lab.blue07.ex;LAB
10.7.3.189;10.0.107.189;-;2a07:1182:7:3::189;2a07:1182:107:2::189;00:50:56:9e:31:98;ws4-09.lab.blue07.ex;LAB
10.7.3.190;10.0.107.190;-;2a07:1182:7:3::190;2a07:1182:107:2::190;00:50:56:9e:43:9a;ws4-10.lab.blue07.ex;LAB
10.7.3.7;10.0.107.37;-;2a07:1182:7:3::7;2a07:1182:107:2::7;00:50:56:9e:2c:d1;ws5.lab.blue07.ex;LAB
10.7.7.2;10.0.107.72;-;2a07:1182:7:7::2;-;00:50:56:9e:61:43;hmi.ics.blue07.ex;ICS
10.7.7.3;10.0.107.73;-;2a07:1182:7:7::3;-;00:50:56:9e:09:f9;step7.ics.blue07.ex;ICS
10.7.7.4;-;-;-;-;28:63:36:8f:62:1a;plc.ics.blue07.ex;ICS
10.7.6.2;10.0.107.62;-;-;-;00:50:56:9e:47:bf;rts.pwr.ops.blue07.ex;PWR
10.7.6.3;10.0.107.63;-;-;-;00:50:56:9e:53:c6;dc4.pwr.ops.blue07.ex;PWR
10.7.6.9;10.0.107.69;151.216.25.167;2a07:1182:1000:1002::167;-;00:50:56:9e:61:b9;remote.blue07.ex;PWR
10.7.6.4;10.0.107.64;-;-;-;00:50:56:9e:72:16;psos.pwr.ops.blue07.ex;PWR
10.7.6.5;10.0.107.65;-;-;-;00:50:56:9e:2d:3b;ui2.pwr.ops.blue07.ex;PWR
